id,bookTitle,page,pageLoc,type,bookID,bookPg,bookType,anchorText,itemType,date,author,language
1,À la recherche de l'essence du langage,62,e,Footnote,https://derridas-margins.princeton.edu/titles/144/,51,Journal Article,"p. 101. Au-delà des scruples formulés par Saussure lui-míÈme, tout un système de critiques intra-linguistiques peut íÈtre opposé à la thèse de l'Œ‚Œæarbitraire du signeŒæŒé. Cf. Jakobson, *íó la recherche de l'essence du langage*, Diogène 51, et Martinet, *La linguistique synchronique*, p. 34. Mais ces critiques n'entament pas äóñ et n'y prétendent d'ailleurs pas äóñ l'intention profonde de Saussure visant la discontinuité et l'immotivation propres à la structure sinon à l'origine du signe.",journalArticle,1965,"Jakobson, Roman",fr
2,A study of glossematics,83,f,Footnote,https://derridas-margins.princeton.edu/titles/20/,,Book,"Cf. aussi Eli Fischer-Jorgensen Œ‚ Remarques sur les principes de l'analyse phonématique Œé, in *Recherches Structurales*, 1949 (*Travaux du Cercle linguistique de Prague*, vol. V, p. 231 sq.) ; B. Siertsema, *A study of glossematics*, 1955 (et notamment le ch. VI), et Hennings Spang-Hanssen, *Glossematics*, in *Trends in European and American linguistics. 1930-1960*, 1963, p. 147 sq.",book,1955,"Siertsema, Bertha",en
3,"A study of writing the foundations of grammatology, 1952",13,b,Footnote,https://derridas-margins.princeton.edu/titles/98/,23,Book,"*Grammatologie*Œæ: Œ‚ŒæTraité des lettres, de l'alphabet, de la syllabation, de la lecture et de l'écritureŒæŒé, Littré. íó notre connaissance, ce mot n'a été utilisé, de nos jours, pour désigner le projet d'une science moderne, que par I. J. Gelb. Cf. *A study of writing the foundations of grammatology*, 1952 (le sous-titre disparaí¬t dans la réédition de 1963). Malgré un souci de classification systématique ou simplifiée et malgré des hypothèses controversées sur la monogénèse ou la polygénèse des écritures, ce livre répond au modèle des histoires classiques de l'écriture.",book,1963,"Gelb, Ignace J.",en
4,An essay towards a real character and a philosophical language,108,e,Citation,https://derridas-margins.princeton.edu/titles/28/,,Book,"C'est le préjugé Œ‚ŒæchinoisŒæŒéŒæ: tous les projets philosophiques d'écriture et de langage universels, pasilalie, polygraphie, pasigraphie, appelés par Descartes, esquissés par le P. Kircher, Wilkins, Leibniz, etc., encouragèrent à voir dans l'écriture chinoise, qu'on découvrait alors, un modèle de langue philosophique ainsi soustrait à l'histoire. Telle est en tout cas la *fonction* du modèle chinois dans les projets de Leibniz.",book,1668,"Wilkins, John",en
5,Analyse et genèse : regards sur la théorie du devenir de l'entendement au XVIIIe siècle,317,d,Footnote,https://derridas-margins.princeton.edu/titles/175/,75,Journal Article,"J. Mosconi montre que l'état de pure nature n'est pas absent de *l'Essai* et que l'ŒæŒ‚Œæí¢ge des Œ‚ŒæcabanesŒæŒé n'a... dans les deux textes, rien de comparableŒæŒé. Œ‚ŒæAnalyse et genèseŒæ: regards sur la théorie du devenir de l'entendement au XVIIIe
 siècleŒæŒé, in *Cahiers pour l'analyse*, 4, p. 75.",journalArticle,1966,"Mosconi, Jean",fr
6,Anthropologie structurale,181,c,Footnote,https://derridas-margins.princeton.edu/titles/97/,33,Book,"*Histoire et ethnologie* (R.M.M., 1949 et *Anthropologie structurale*, p. 33)Œæ: Œ‚ŒæL'ethnologue s'intéresse surtout à ce qui n'est pas écrit, non pas tant parce que les peuples qu'il étudie sont incapables d'écrire, que parce que ce à quoi il s'intéresse est différent de tout ce que les hommes songent habituellement à fixer sur la pierre ou sur le papier.ŒæŒé",book,1958,"Lévi-Strauss, Claude",fr
6,Anthropologie structurale,191,c,Quotation,https://derridas-margins.princeton.edu/titles/97/,400-401,Book,"Œ‚Œæäó_ à cet égard, ce sont les sociétés de l'homme moderne qui devraient plutíÇt íÈtre définies par un caractère privatif. Nos relations avec autrui ne sont plus, que de faí_on occasionnelle et fragmentaire, fondées sur une expérience globale, *cette appréhension concrète d'un sujet par un autre*. Elles résultent, pour une large part, de reconstructions indirectes, à travers des documents écrits. Nous sommes reliés à notre passé, non plus par une tradition orale qui implique un *contact vécu* avec des personnes äóñ conteurs, príÈtres, sages ou anciens äóñ, mais par des livres *entassés* dans des bibliothèques et à travers lesquels la critique s'évertue äóñ avec quelles difficultés äóñ à reconstituer le visage de leurs auteurs. Et sur le plan du présent, nous communiquons avec l'immense majorité de nos contemporains par toutes sortes d'intermédiaires äóñ documents écrits ou mécanismes administratifs äóñ qui élargissent sans doute immensément nos contacts, mais leur confèrent en míÈme temps un caractère d'*inauthenticité*. Celui-ci est devenu la marque míÈme des rapports entre le citoyen et les Pouvoirs. Nous n'entendons pas nous livrer au paradoxe, et définir de faí_on négative l'immense révolution introduite par l'invention de l'écriture. Mais il est indispensable de se rendre compte qu'elle a retiré à l'humanité quelque chose d'essentiel, en míÈme temps qu'elle lui apportait tant de bienfaitsŒæŒé (p. 400-402. Nous soulignons).",book,1958,"Lévi-Strauss, Claude",fr
6,Anthropologie structurale,170,b,Quotation,https://derridas-margins.princeton.edu/titles/97/,365,Book,"Œ‚ŒæS'il [M. Rodinson] avait lu mon livre, au lieu de se contenter des extraits publiés il y a quelques mois, il y aurait trouvé, en plus d'une hypothèse marxiste sur l'origine de l'écriture, deux études consacrées à des tribus brésiliennes äóñ caduveo et bororo äóñ qui sont des tentatives d'interprétation des superstructures indigènes fondées sur le matérialisme dialectique, et dont la nouveauté, dans la littérature ethnographique occidentale, mériterait peut-íÈtre plus de soin et de sympathie.ŒæŒé",book,1958,"Lévi-Strauss, Claude",fr
6,Anthropologie structurale,192,a,Quotation,https://derridas-margins.princeton.edu/titles/97/,402-403,Book,"Œ‚ŒæSi l'on considère avec attention les points d'insertion de l'enquíÈte anthropologique, on constate, au contraire, qu'en
s'intéressant de plus en plus à l'étude des sociétés modernes, l'anthropologie s'est attachée à y reconnaí¬tre et à y isoler des *niveaux d'authenticité*. Ce qui permet à l'ethnologue de se trouver sur un terrain familier quand il étudie un village,
une entreprise, ou un Œ‚ voisinage Œé de grande ville (comme disent les Anglo-SaxonsŒæ: *neighbourhood*), c'est que tout le
monde y connaí¬t tout le monde, ou à peu près...ŒæŒé. Œ‚ŒæL'avenir jugera sans doute que la plus importante contribution de
l'anthropologie aux sciences sociales est d'avoir introduit (d'ailleurs inconsciemment) cette distinction capitale entre deux
modalités d'existence socialeŒæ: un genre de vie perí_u à l'origine comme traditionnel et archaí¿que, qui est avant tout celui des sociétés authentiquesŒæ; et des formes d'apparition plus récente, dont le premier type n'est certainement pas absent,
mais oí_ des groupes imparfaitement et incomplètement authentiques se trouvent organisés au sein d'un système plus vaste, lui-míÈme frappé d'inauthenticitéŒæŒé (pp. 402-403).",book,1958,"Lévi-Strauss, Claude",fr
6,Anthropologie structurale,147,e,Footnote,https://derridas-margins.princeton.edu/titles/97/,400-403,Book,"Ce sont d'abord les *Tristes tropiques*, tout au long de cette Œ‚ Leí_on d'écriture Œé (ch. XVIII) dont on retrouve la substance théorique dans le second des *Entretiens avec Claude Lévi-Strauss* (G. Charbonnier) (*Primitifs et civilisés*). C'est aussi l'*Anthropologie structurale* (*Problèmes de méthode et d'enseignement*, notamment dans le chapitre disant le Œ‚ critère de läó»authenticité Œé p. 400). Enfin, de manière moins directe, dans *La pensée sauvage*, sous un titre séduisant, *Le temps retrouvé*.",book,1958,"Lévi-Strauss, Claude",fr
